Sample,Target,Concentration,Replicate,Method,Concentration_adj,Viral_type
PEG,Adenovirus,9.492,R3,PEG,9.492,Endogenous
PEG,RotavirusA,1.066,R3,PEG,1.066,Endogenous
Ultrafiltration,Astrovirus,34.05,R1,UF,34.05,Endogenous
Ultrafiltration,LCMV,1.46,R1,UF,1.46,Spike-in
Ultrafiltration,MS2,2702.4,R1,UF,2702.4,Spike-in
Ultrafiltration,PhiX174,464,R1,UF,464,Spike-in
Ultrafiltration,Vaccinia,19.75,R1,UF,19.75,Spike-in
Ultrafiltration,Influenza PR8,214.7,R1,UF,214.7,Spike-in
Ultrafiltration,HPV-E1,1640.3,R1,UF,1640.3,Endogenous
Ultrafiltration,Adenovirus,15.06,R1,UF,15.06,Endogenous
Ultrafiltration,RotavirusA,0.216,R1,UF,0.216,Endogenous
Ultrafiltration,Astrovirus,41.85,R2,UF,41.85,Endogenous
Ultrafiltration,LCMV,1.926,R2,UF,1.926,Spike-in
Ultrafiltration,MS2,2581.6,R2,UF,2581.6,Spike-in
Ultrafiltration,PhiX174,415.9,R2,UF,415.9,Spike-in
Ultrafiltration,Vaccinia,32.88,R2,UF,32.88,Spike-in
Ultrafiltration,Influenza PR8,146.9,R2,UF,146.9,Spike-in
Ultrafiltration,HPV-E1,1454.5,R2,UF,1454.5,Endogenous
Ultrafiltration,Adenovirus,19.55,R2,UF,19.55,Endogenous
Ultrafiltration,RotavirusA,0.275,R2,UF,0.275,Endogenous
Ultrafiltration,Astrovirus,57.96,R3,UF,57.96,Endogenous
Ultrafiltration,LCMV,2.956,R3,UF,2.956,Spike-in
Ultrafiltration,MS2,3040.5,R3,UF,3040.5,Spike-in
Ultrafiltration,PhiX174,635.5,R3,UF,635.5,Spike-in
Ultrafiltration,Vaccinia,18.91,R3,UF,18.91,Spike-in
Ultrafiltration,Influenza PR8,246.9,R3,UF,246.9,Spike-in
Ultrafiltration,HPV-E1,1303.7,R3,UF,1303.7,Endogenous
Ultrafiltration,Adenovirus,30.43,R3,UF,30.43,Endogenous
Ultrafiltration,RotavirusA,0.112,R3,UF,0.112,Endogenous
Unconcentrated,Astrovirus,127.9,R1,UNC,10232,Endogenous
Unconcentrated,LCMV,0,R1,UNC,0,Spike-in
Unconcentrated,MS2,0,R1,UNC,0,Spike-in
Unconcentrated,PhiX174,0,R1,UNC,0,Spike-in
Unconcentrated,Vaccinia,0,R1,UNC,0,Spike-in
Unconcentrated,Influenza PR8,0,R1,UNC,0,Spike-in
Unconcentrated,HPV-E1,428,R1,UNC,34240,Endogenous
Unconcentrated,Adenovirus,0.988,R1,UNC,79.04,Endogenous
Unconcentrated,RotavirusA,0,R1,UNC,0,Endogenous
Unconcentrated,Astrovirus,92.61,R2,UNC,7408.8,Endogenous
Unconcentrated,LCMV,0.053,R2,UNC,4.24,Spike-in
Unconcentrated,MS2,0.107,R2,UNC,8.56,Spike-in
Unconcentrated,PhiX174,0,R2,UNC,0,Spike-in
Unconcentrated,Vaccinia,0,R2,UNC,0,Spike-in
Unconcentrated,Influenza PR8,0,R2,UNC,0,Spike-in
Unconcentrated,HPV-E1,666,R2,UNC,53280,Endogenous
Unconcentrated,Adenovirus,1.665,R2,UNC,133.2,Endogenous
Unconcentrated,RotavirusA,0,R2,UNC,0,Endogenous
